"Echinostephia aculeata","Echinostephia","","aculeata",NA,NA,"","","kew-2783880",TRUE,"1.1","Accepted","Menispermaceae","Echinostephia","","aculeata","","","(F.M.Bailey) Domin","kew-2783880","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus duclouxii","Elaeocarpus","","duclouxii",NA,NA,"","","kew-2785504",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","duclouxii","","","Gagnep.","kew-2785504","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus elliffii","Elaeocarpus","","elliffii",NA,NA,"","","kew-2785509",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","elliffii","","","B.Hyland & Coode","kew-2785509","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus eumundii","Elaeocarpus","","eumundii",NA,NA,"","","kew-2785520",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","eumundi","","","F.M.Bailey","kew-2785520","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Elaeocarpus ferrugineus","Elaeocarpus","","ferrugineus",NA,NA,"","","kew-2785528",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","ferrugineus","","","(Jacq.) Steud.","kew-2785528","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus floribundus","Elaeocarpus","","floribundus",NA,NA,"","","kew-2785543",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","floribundus","","","Blume","kew-2785543","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus foveolatus","Elaeocarpus","","foveolatus",NA,NA,"","","kew-2785549",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","foveolatus","","","F.Muell.","kew-2785549","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus geminiflorus","Elaeocarpus","","geminiflorus",NA,NA,"","","kew-2785567",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","geminiflorus","","","Brongn. & Gris","kew-2785567","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus glaber","Elaeocarpus","","glaber",NA,NA,"","","kew-2785573",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","glaber","","","Blume","kew-2785573","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus glabripetalus","Elaeocarpus","","glabripetalus",NA,NA,"","","kew-2785577",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","glabripetalus","","","Merr.","kew-2785577","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus gordonii","Elaeocarpus","","gordonii",NA,NA,"","","kew-2785584",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","gordonii","","","Tirel","kew-2785584","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus grahamii","Elaeocarpus","","grahamii",NA,NA,"","","kew-2785587",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","grahamii","","","F.Muell.","kew-2785587","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus grandiflorus","Elaeocarpus","","grandiflorus",NA,NA,"","","kew-2785588",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","grandiflorus","","","Sm.","kew-2785588","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus grandis","Elaeocarpus","","grandis",NA,NA,"","","kew-2785591",TRUE,"1.1","Synonym","Elaeocarpaceae","Elaeocarpus","","angustifolius","","","Blume","kew-2785314","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus gummatus","Elaeocarpus","","gummatus",NA,NA,"","","kew-2785597",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","gummatus","","","Guillaumin","kew-2785597","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus hainanensis","Elaeocarpus","","hainanensis",NA,NA,"","","kew-2785601",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","hainanensis","","","Oliv.","kew-2785601","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus holopetalus","Elaeocarpus","","holopetalus",NA,NA,"","","kew-2785620",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","holopetalus","","","F.Muell.","kew-2785620","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus hookerianus","Elaeocarpus","","hookerianus",NA,NA,"","","kew-2785623",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","hookerianus","","","Raoul","kew-2785623","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus hortensis","Elaeocarpus","","hortensis",NA,NA,"","","kew-2785624",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","hortensis","","","Guillaumin","kew-2785624","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus hylobroma","Elaeocarpus","","hylobroma",NA,NA,"","","",FALSE,"1.1","","","Elaeocarpus","","hylobroma",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus japonicus","Elaeocarpus","","japonicus",NA,NA,"","","kew-2785650",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","japonicus","","","Siebold","kew-2785650","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus kerstingianus","Elaeocarpus","","kerstingianus",NA,NA,"","","kew-2785663",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","kerstingianus","","","Schltr.","kew-2785663","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus kirtonii","Elaeocarpus","","kirtonii",NA,NA,"","","kew-2785665",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","kirtonii","","","F.Muell. ex F.M.Bailey","kew-2785665","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus largiflorens","Elaeocarpus","","largiflorens",NA,NA,"","","kew-2785695",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","largiflorens","","","C.T.White","kew-2785695","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus linsmithii","Elaeocarpus","","linsmithii",NA,NA,"","","kew-2785720",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","linsmithii","","","Guymer","kew-2785720","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus mastersii","Elaeocarpus","","mastersii",NA,NA,"","","kew-2785758",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","mastersii","","","King","kew-2785758","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus michaelii","Elaeocarpus","","michaelii",NA,NA,"","","kew-2785765",TRUE,"1.1","Synonym","Elaeocarpaceae","Elaeocarpus","","culminicola","","","Warb.","kew-2785459","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus miegei","Elaeocarpus","","miegei",NA,NA,"","","kew-2785771",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","miegei","","","Weibel","kew-2785771","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus multisectus","Elaeocarpus","","multisectus",NA,NA,"","","kew-2785793",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","multisectus","","","Schltr.","kew-2785793","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus munroii","Elaeocarpus","","munroii",NA,NA,"","","kew-2785796",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","munroii","","","Mast.","kew-2785796","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus nitentifolius","Elaeocarpus","","nitentifolius",NA,NA,"","","kew-2785815",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","nitentifolius","","","Merr. & Chun","kew-2785815","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus nitidus","Elaeocarpus","","nitidus",NA,NA,"","","kew-2785817",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","nitidus","","","Jack","kew-2785817","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus nouhuysii","Elaeocarpus","","nouhuysii",NA,NA,"","","kew-2785825",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","nouhuysii","","","Koord.","kew-2785825","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus obovatus","Elaeocarpus","","obovatus",NA,NA,"","","kew-2785832",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","obovatus","","","G.Don","kew-2785832","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus oviger","Elaeocarpus","","oviger",NA,NA,"","","kew-2785852",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","ovigerus","","","Brongn. & Gris","kew-2785852","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Elaeocarpus petiolatus","Elaeocarpus","","petiolatus",NA,NA,"","","kew-2785885",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","petiolatus","","","(Jacq.) Wall.","kew-2785885","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus photiniifolius","Elaeocarpus","","photiniifolius",NA,NA,"","","kew-2785888",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","photiniifolia","","","Hook. & Arn.","kew-2785888","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Elaeocarpus polydactylus","Elaeocarpus","","polydactylus",NA,NA,"","","kew-2785898",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","polydactylus","","","Schltr.","kew-2785898","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus polystachyus","Elaeocarpus","","polystachyus",NA,NA,"","","kew-2785901",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","polystachyus","","","Wall. ex Müll.Berol.","kew-2785901","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus prunifolioides","Elaeocarpus","","prunifolioides",NA,NA,"","","kew-2785909",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","prunifolioides","","","Hu","kew-2785909","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus ptilanthus","Elaeocarpus","","ptilanthus",NA,NA,"","","kew-2785915",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","ptilanthus","","","Schltr.","kew-2785915","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus pulchellus","Elaeocarpus","","pulchellus",NA,NA,"","","kew-2785918",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","pulchellus","","","Brongn. & Gris","kew-2785918","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus recurvatus","Elaeocarpus","","recurvatus",NA,NA,"","","kew-2785938",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","recurvatus","","","Corner","kew-2785938","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus reticulatus","Elaeocarpus","","reticulatus",NA,NA,"","","kew-2785945",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","reticulatus","","","Sm.","kew-2785945","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus rotundifolius","Elaeocarpus","","rotundifolius",NA,NA,"","","kew-2785969",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","rotundifolius","","","Brongn. & Gris","kew-2785969","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus rugosus","Elaeocarpus","","rugosus",NA,NA,"","","kew-2785974",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","rugosus","","","Roxb. ex G.Don","kew-2785974","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus ruminatus","Elaeocarpus","","ruminatus",NA,NA,"","","kew-2785977",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","ruminatus","","","F.Muell.","kew-2785977","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus sedentarius","Elaeocarpus","","sedentarius",NA,NA,"","","kew-2607040",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","sedentarius","","","Maynard & Crayn","kew-2607040","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus sericopetalus","Elaeocarpus","","sericopetalus",NA,NA,"","","kew-2786003",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","sericopetalus","","","F.Muell.","kew-2786003","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus seringii","Elaeocarpus","","seringii",NA,NA,"","","kew-2786004",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","seringii","","","Montrouz.","kew-2786004","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus sikkimensis","Elaeocarpus","","sikkimensis",NA,NA,"","","kew-2786011",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","sikkimensis","","","Mast.","kew-2786011","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus speciosus","Elaeocarpus","","speciosus",NA,NA,"","","kew-2786018",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","speciosus","","","Brongn. & Gris","kew-2786018","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus sphaericus","Elaeocarpus","","sphaericus",NA,NA,"","","kew-2786019",TRUE,"1.1","Synonym","Elaeocarpaceae","Elaeocarpus","","serratus","","","L.","kew-2786005","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus sphaerocarpus","Elaeocarpus","","sphaerocarpus",NA,NA,"","","kew-2786022",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","sphaerocarpus","","","H.T.Chang","kew-2786022","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus stellaris","Elaeocarpus","","stellaris",NA,NA,"","","kew-2786024",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","stellaris","","","L.S.Sm.","kew-2786024","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus stipularis","Elaeocarpus","","stipularis",NA,NA,"","","kew-2786030",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","stipularis","","","Blume","kew-2786030","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus sylvestris","Elaeocarpus","","sylvestris",NA,NA,"","","kew-2786062",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","sylvestris","","","(Lour.) Poir.","kew-2786062","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus tectorius","Elaeocarpus","","tectorius",NA,NA,"","","kew-2786077",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","tectorius","","","(Lour.) Poir.","kew-2786077","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus thelmae","Elaeocarpus","","thelmae",NA,NA,"","","kew-2786085",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","thelmae","","","B.Hyland & Coode","kew-2786085","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus tuberculatus","Elaeocarpus","","tuberculatus",NA,NA,"","","kew-2786105",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","tuberculatus","","","Roxb.","kew-2786105","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus undulatus","Elaeocarpus","","undulatus",NA,NA,"","","kew-2786108",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","undulatus","","","Warb.","kew-2786108","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus variabilis","Elaeocarpus","","variabilis",NA,NA,"","","kew-2786114",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","variabilis","","","Zmarzty","kew-2786114","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus varunua","Elaeocarpus","","varunua",NA,NA,"","","kew-2786115",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","varunua","","","Buch.-Ham. ex Mast.","kew-2786115","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus weibelianus","Elaeocarpus","","weibelianus",NA,NA,"","","tro-11700173",TRUE,"1.1","Unresolved","Elaeocarpaceae","Elaeocarpus","","weibelianus","","","Tirel","tro-11700173","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus williamsianus","Elaeocarpus","","williamsianus",NA,NA,"","","kew-2786132",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","williamsianus","","","Guymer","kew-2786132","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeodendron australe","Elaeodendron","","australe",NA,NA,"","","kew-2786159",TRUE,"1.1","Synonym","Celastraceae","Cassine","","australis","","","(Vent.) Kuntze","kew-2704246","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeodendron croceum","Elaeodendron","","croceum",NA,NA,"","","kew-2786171",TRUE,"1.1","Synonym","Celastraceae","Cassine","","crocea","","","(Thunb.) C.Presl","kew-2704267","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeodendron cunninghamii","Elaeodendron","","cunninghamii",NA,NA,"","","kew-2786175",TRUE,"1.1","Synonym","Celastraceae","Cassine","","cunninghamii","","","(Montrouz.) Lobr.-Callen","kew-2704269","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeodendron curtipendulum","Elaeodendron","","curtipendulum",NA,NA,"","","kew-2786176",TRUE,"1.1","Synonym","Celastraceae","Cassine","","curtipendula","","","(Endl.) Kuntze","kew-2704270","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeodendron matabelicum","Elaeodendron","","matabelicum",NA,NA,"","","kew-2786216",TRUE,"1.1","Synonym","Celastraceae","Cassine","","matabelica","","","(Loes.) Steedman","kew-2704316","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeodendron melanocarpum","Elaeodendron","","melanocarpum",NA,NA,"","","kew-2786217",TRUE,"1.1","Synonym","Celastraceae","Cassine","","melanocarpa","","","(F.Muell.) Kuntze","kew-2704320","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeodendron orientale","Elaeodendron","","orientale",NA,NA,"","","kew-2786230",TRUE,"1.1","Synonym","Celastraceae","Cassine","","orientalis","","","(Jacq.) Kuntze","kew-2704331","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeodendron pininsulare","Elaeodendron","","pininsulare",NA,NA,"","","kew-2786237",TRUE,"1.1","Synonym","Celastraceae","Cassine","","pininsularis","","","(Hürl.) I.H.Müll.","kew-2704342","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeodendron transvaalense","Elaeodendron","","transvaalense",NA,NA,"","","kew-2786260",TRUE,"1.1","Synonym","Celastraceae","Cassine","","transvaalensis","","","(Burtt Davy) Codd","kew-2704365","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeodendron vitiense","Elaeodendron","","vitiense",NA,NA,"","","kew-2786271",TRUE,"1.1","Synonym","Celastraceae","Cassine","","vitiensis","","","(A.C.Sm.) A.C.Sm.","kew-2704370","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeodendron xylocarpum","Elaeodendron","","xylocarpum",NA,NA,"","","kew-2786273",TRUE,"1.1","Synonym","Celastraceae","Cassine","","xylocarpa","","","Vent.","kew-2704371","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeoluma nuda","Elaeoluma","","nuda",NA,NA,"","","kew-66359",TRUE,"1.1","Accepted","Sapotaceae","Elaeoluma","","nuda","","","(Baehni) Aubrév.","kew-66359","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeoluma schomburgkiana","Elaeoluma","","schomburgkiana",NA,NA,"","","kew-66360",TRUE,"1.1","Accepted","Sapotaceae","Elaeoluma","","schomburgkiana","","","(Miq.) Baill.","kew-66360","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeosticta aitchisonii","Elaeosticta","","aitchisonii",NA,NA,"","","kew-2786321",TRUE,"1.1","Accepted","Apiaceae","Elaeosticta","","aitchisonii","","","(H.Wolff) Kljuykov, Pimenov & V.N.Tikhom.","kew-2786321","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeosticta alaica","Elaeosticta","","alaica",NA,NA,"","","kew-2786322",TRUE,"1.1","Accepted","Apiaceae","Elaeosticta","","alaica","","","(Lipsky) Kljuykov, Pimenov & V.N.Tikhom.","kew-2786322","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeosticta allioides","Elaeosticta","","allioides",NA,NA,"","","kew-2786323",TRUE,"1.1","Accepted","Apiaceae","Elaeosticta","","allioides","","","(Regel & Schmalh.) Kljuykov, Pimenov & V.N.Tikhom.","kew-2786323","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeosticta bucharica","Elaeosticta","","bucharica",NA,NA,"","","kew-2786324",TRUE,"1.1","Accepted","Apiaceae","Elaeosticta","","bucharica","","","(Korovin) Kljuykov, Pimenov & V.N.Tikhom.","kew-2786324","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeosticta conica","Elaeosticta","","conica",NA,NA,"","","kew-2786326",TRUE,"1.1","Accepted","Apiaceae","Elaeosticta","","conica","","","Korovin","kew-2786326","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeosticta ferganensis","Elaeosticta","","ferganensis",NA,NA,"","","kew-2786327",TRUE,"1.1","Accepted","Apiaceae","Elaeosticta","","ferganensis","","","(Lipsky) Kljuykov, Pimenov & V.N.Tikhom.","kew-2786327","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeosticta glaucescens","Elaeosticta","","glaucescens",NA,NA,"","","kew-2786328",TRUE,"1.1","Accepted","Apiaceae","Elaeosticta","","glaucescens","","","Boiss.","kew-2786328","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeosticta hirtula","Elaeosticta","","hirtula",NA,NA,"","","kew-2786330",TRUE,"1.1","Accepted","Apiaceae","Elaeosticta","","hirtula","","","(Regel & Schmalh.) Kljuykov, Pimenov & V.N.Tikhom.","kew-2786330","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeosticta knorringiana","Elaeosticta","","knorringiana",NA,NA,"","","kew-2786331",TRUE,"1.1","Accepted","Apiaceae","Elaeosticta","","knorringiana","","","(Korovin) Korovin","kew-2786331","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeosticta korovinii","Elaeosticta","","korovinii",NA,NA,"","","kew-2786332",TRUE,"1.1","Accepted","Apiaceae","Elaeosticta","","korovinii","","","(Bobrov) Kljuykov, Pimenov & V.N.Tikhom.","kew-2786332","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeosticta lutea","Elaeosticta","","lutea",NA,NA,"","","kew-2786335",TRUE,"1.1","Accepted","Apiaceae","Elaeosticta","","lutea","","","(M.Bieb. ex Hoffm.) Kljuykov, Pimenov & V.N.Tikhom.","kew-2786335","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeosticta meifolia","Elaeosticta","","meifolia",NA,NA,"","","kew-2786336",TRUE,"1.1","Accepted","Apiaceae","Elaeosticta","","meifolia","","","Fenzl","kew-2786336","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeosticta nodosa","Elaeosticta","","nodosa",NA,NA,"","","kew-2786337",TRUE,"1.1","Accepted","Apiaceae","Elaeosticta","","nodosa","","","(Boiss.) Boiss.","kew-2786337","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeosticta paniculata","Elaeosticta","","paniculata",NA,NA,"","","kew-2786338",TRUE,"1.1","Accepted","Apiaceae","Elaeosticta","","paniculata","","","(Korovin) Kljuykov & Pimenov","kew-2786338","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeosticta platyphylla","Elaeosticta","","platyphylla",NA,NA,"","","kew-2786339",TRUE,"1.1","Accepted","Apiaceae","Elaeosticta","","platyphylla","","","(Korovin) Kljuykov, Pimenov & V.N.Tikhom.","kew-2786339","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeosticta polycarpa","Elaeosticta","","polycarpa",NA,NA,"","","kew-2786340",TRUE,"1.1","Accepted","Apiaceae","Elaeosticta","","polycarpa","","","(Korovin) Kljuykov, Pimenov & V.N.Tikhom.","kew-2786340","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeosticta ramosissima","Elaeosticta","","ramosissima",NA,NA,"","","kew-2786341",TRUE,"1.1","Accepted","Apiaceae","Elaeosticta","","ramosissima","","","Kljuykov","kew-2786341","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeosticta samarkandica","Elaeosticta","","samarkandica",NA,NA,"","","kew-2786342",TRUE,"1.1","Accepted","Apiaceae","Elaeosticta","","samarkandica","","","(Korovin) Kljuykov, Pimenov & V.N.Tikhom.","kew-2786342","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeosticta scariosibracteata","Elaeosticta","","scariosibracteata",NA,NA,"","","kew-2786343",TRUE,"1.1","Accepted","Apiaceae","Elaeosticta","","scariosibracteata","","","(Rech.f. & Riedl) Kljuykov, Pimenov & V.N.Tikhom.","kew-2786343","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeosticta transcaspica","Elaeosticta","","transcaspica",NA,NA,"","","kew-2786346",TRUE,"1.1","Accepted","Apiaceae","Elaeosticta","","transcaspica","","","(Korovin) Kljuykov, Pimenov & V.N.Tikhom.","kew-2786346","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeosticta transitoria","Elaeosticta","","transitoria",NA,NA,"","","kew-2786347",TRUE,"1.1","Accepted","Apiaceae","Elaeosticta","","transitoria","","","(Korovin) Kljuykov, Pimenov & V.N.Tikhom.","kew-2786347","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeosticta tschimganica","Elaeosticta","","tschimganica",NA,NA,"","","kew-2786348",TRUE,"1.1","Accepted","Apiaceae","Elaeosticta","","tschimganica","","","(Korovin) Kljuykov, Pimenov & V.N.Tikhom.","kew-2786348","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeosticta ugamica","Elaeosticta","","ugamica",NA,NA,"","","kew-2786349",TRUE,"1.1","Accepted","Apiaceae","Elaeosticta","","ugamica","","","(Korovin) Korovin","kew-2786349","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeosticta vvedenskyi","Elaeosticta","","vvedenskyi",NA,NA,"","","kew-2786350",TRUE,"1.1","Accepted","Apiaceae","Elaeosticta","","vvedenskyi","","","(Kamelin) Kljuykov, Pimenov & V.N.Tikhom.","kew-2786350","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphandra paucipunctata","Elaphandra","","paucipunctata",NA,NA,"","","gcc-114486",TRUE,"1.1","Accepted","Compositae","Elaphandra","","paucipunctata","","","H.Rob.","gcc-114486","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum achroalepis","Elaphoglossum","","achroalepis",NA,NA,"","","tro-26601569",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","achroalepis","","","(Baker) C. Chr.","tro-26601569","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaphoglossum acrostichoides","Elaphoglossum","","acrostichoides",NA,NA,"","","tro-26604428",TRUE,"1.1","Accepted","Dryopteridaceae","Elaphoglossum","","acrostichoides","","","(Hook. & Grev.) Schelpe","tro-26604428","Accepted",FALSE,FALSE,FALSE,2017-05-11
